cell_id,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly
290,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
295,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
300,1179.8,691.4,1256.5,1028.5,996.6,1233.7,1390.3,1261.3,839.6,1191.0,1106.8700000000001,84.12999999999988
305,1236.8,687.8,1256.5,1028.5,996.6,1233.7,1390.3,1261.3,839.6,1191.0,1112.21,78.78999999999996
310,1236.8,687.8,1079.9,930.1,882.3,1182.7,1302.0,1096.4,695.2,1024.4,1011.76,12.6400000000001
315,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
320,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
325,1236.8,687.8,923.0,862.1,778.4,973.2,1262.2,1024.8,734.1,1001.4,948.3799999999999,53.020000000000095
330,1236.8,687.8,923.0,862.1,778.4,973.2,1262.2,1024.8,734.1,1001.4,948.3799999999999,53.020000000000095
385,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
390,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
395,1236.8,687.8,923.0,862.1,778.4,973.2,1262.2,1024.8,734.1,1001.4,948.3799999999999,53.020000000000095
400,1222.0,647.0,954.6,790.3,798.9,1009.6,1285.9,1111.4,750.0,1037.5,960.7199999999999,76.78000000000009
405,1088.2,643.4,1055.1,851.7,1013.4,1092.6,1484.3,1217.8,821.7,1122.4,1039.06,83.34000000000015
410,1179.8,691.4,1055.1,851.7,1013.4,1092.6,1484.3,1217.8,821.7,1122.4,1053.02,69.38000000000011
415,1179.8,691.4,1070.8,919.5,993.8,1129.5,1464.4,1269.7,801.0,1128.2,1064.8100000000002,63.38999999999987
420,1179.8,691.4,1070.8,919.5,993.8,1129.5,1464.4,1269.7,801.0,1128.2,1064.8100000000002,63.38999999999987
425,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
430,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
435,1179.8,691.4,1256.5,1028.5,996.6,1233.7,1390.3,1261.3,839.6,1191.0,1106.8700000000001,84.12999999999988
440,1236.8,687.8,1079.9,930.1,882.3,1182.7,1302.0,1096.4,695.2,1024.4,1011.76,12.6400000000001
445,1236.8,687.8,1079.9,930.1,882.3,1182.7,1302.0,1096.4,695.2,1024.4,1011.76,12.6400000000001
450,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
455,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
460,1236.8,687.8,923.0,862.1,778.4,973.2,1262.2,1024.8,734.1,1001.4,948.3799999999999,53.020000000000095
465,1236.8,687.8,923.0,862.1,778.4,973.2,1262.2,1024.8,734.1,1001.4,948.3799999999999,53.020000000000095
470,1088.2,643.4,1055.1,851.7,1013.4,1092.6,1484.3,1217.8,821.7,1122.4,1039.06,83.34000000000015
475,1088.2,643.4,1055.1,851.7,1013.4,1092.6,1484.3,1217.8,821.7,1122.4,1039.06,83.34000000000015
480,1179.8,691.4,1070.8,919.5,993.8,1129.5,1464.4,1269.7,801.0,1128.2,1064.8100000000002,63.38999999999987
485,1179.8,691.4,1070.8,919.5,993.8,1129.5,1464.4,1269.7,801.0,1128.2,1064.8100000000002,63.38999999999987
490,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
495,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
550,1179.8,691.4,1070.8,919.5,993.8,1129.5,1464.4,1269.7,801.0,1128.2,1064.8100000000002,63.38999999999987
555,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
560,1179.8,691.4,1209.7,1008.5,1027.6,1236.3,1431.8,1337.8,882.6,1237.4,1124.29,113.11000000000013
565,1179.8,691.4,1256.5,1028.5,996.6,1233.7,1390.3,1261.3,839.6,1191.0,1106.8700000000001,84.12999999999988
570,1179.8,691.4,1256.5,1028.5,996.6,1233.7,1390.3,1261.3,839.6,1191.0,1106.8700000000001,84.12999999999988
575,1236.8,687.8,1079.9,930.1,882.3,1182.7,1302.0,1096.4,695.2,1024.4,1011.76,12.6400000000001
580,1236.8,687.8,1079.9,930.1,882.3,1182.7,1302.0,1096.4,695.2,1024.4,1011.76,12.6400000000001
585,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
590,1236.8,687.8,983.2,836.2,800.3,1039.1,1247.5,1003.4,724.9,965.0,952.4199999999998,12.580000000000155
595,1236.8,687.8,923.0,862.1,778.4,973.2,1262.2,1024.8,734.1,1001.4,948.3799999999999,53.020000000000095
600,1222.0,647.0,923.0,862.1,778.4,973.2,1262.2,1024.8,734.1,1001.4,942.8199999999999,58.58000000000004
605,1088.2,643.4,1055.1,851.7,1013.4,1092.6,1484.3,1217.8,821.7,1122.4,1039.06,83.34000000000015
610,1088.2,643.4,1055.1,851.7,1013.4,1092.6,1484.3,1217.8,821.7,1122.4,1039.06,83.34000000000015
615,1179.8,691.4,1070.8,919.5,993.8,1129.5,1464.4,1269.7,801.0,1128.2,1064.8100000000002,63.38999999999987
