cell_id,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change
135,0.7638,0.4178,0.5229,0.4617,-0.34600000000000003,0.10510000000000003,-0.06120000000000003,-0.30210000000000004
136,0.608,0.5808,0.3633,0.1498,-0.027200000000000002,-0.21749999999999997,-0.21350000000000002,-0.4582
137,0.768,0.4044,-0.0004,0.0258,-0.36360000000000003,-0.4048,0.0262,-0.7422
138,0.5852,0.2219,0.7381,0.1091,-0.36330000000000007,0.5162,-0.629,-0.4761000000000001
139,0.6741,0.1977,0.3224,0.1696,-0.47640000000000005,0.12470000000000003,-0.15280000000000002,-0.5045000000000001
140,0.6389,0.1374,0.2073,0.0779,-0.5015000000000001,0.06990000000000002,-0.12940000000000002,-0.561
141,0.3348,0.2733,0.5106,0.2102,-0.0615,0.23730000000000007,-0.30040000000000006,-0.12459999999999999
142,0.4123,0.219,0.7109,0.1855,-0.1933,0.4919,-0.5254,-0.2268
143,0.7144,0.2,0.3536,0.1729,-0.5144,0.15360000000000001,-0.18070000000000003,-0.5415000000000001
144,0.7485,0.2617,0.5726,0.4278,-0.48680000000000007,0.3109,-0.14479999999999998,-0.32070000000000004
145,0.816,0.2329,0.1519,0.1124,-0.5831,-0.08099999999999999,-0.03950000000000001,-0.7036
146,0.8346,0.3457,0.5172,0.3409,-0.4889,0.17149999999999999,-0.1763,-0.4937
147,0.7,0.2366,0.4882,0.3626,-0.4633999999999999,0.25160000000000005,-0.12560000000000004,-0.3374
148,0.6172,-0.0047,0.681,0.2876,-0.6219,0.6857000000000001,-0.3934,-0.32959999999999995
149,0.389,,,,,,,
150,0.6991,,,,,,,
151,0.8052,,,,,,,
152,0.6588,,,,,,,
153,0.7967,,,,,,,
154,0.5508,,,,,,,
155,0.5985,,,,,,,
156,0.3319,,,,,,,
157,0.2089,,,,,,,
158,0.801,,,,,,,
159,0.4249,,,,,,,
160,0.6057,,,,,,,
161,0.5986,,,,,,,
162,0.8128,,,,,,,
163,0.7377,,,,,,,
164,0.3388,,,,,,,
165,0.5737,,,,,,,
166,0.6233,,,,,,,
167,0.6362,,,,,,,
168,0.6913,,,,,,,
169,0.4906,,,,,,,
170,0.5898,,,,,,,
171,0.2548,,,,,,,
172,0.3928,,,,,,,
173,0.4991,,,,,,,
174,0.5911,,,,,,,
175,0.635,,,,,,,
176,0.7696,,,,,,,
177,0.4443,,,,,,,
178,0.5488,,,,,,,
179,0.7176,,,,,,,
180,0.5819,,,,,,,
181,0.6894,,,,,,,
182,0.6579,,,,,,,
183,0.6034,,,,,,,
184,0.5778,,,,,,,
185,-0.0681,,,,,,,
186,0.5855,,,,,,,
187,0.5875,,,,,,,
188,0.5392,,,,,,,
189,0.5029,,,,,,,
190,0.2065,,,,,,,
191,0.3076,,,,,,,
192,0.6806,,,,,,,
193,0.4059,,,,,,,
194,0.4481,,,,,,,
195,0.2149,,,,,,,
196,0.2573,,,,,,,
197,0.5798,,,,,,,
198,0.696,,,,,,,
199,0.3089,,,,,,,
200,0.6027,,,,,,,
201,0.7721,0.6123,0.3629,0.3277,-0.15980000000000005,-0.24939999999999996,-0.03520000000000001,-0.4444
202,0.5825,0.6357,0.4599,0.2266,0.053200000000000025,-0.17580000000000007,-0.23329999999999998,-0.3559
203,0.7711,0.4951,0.3942,0.1684,-0.276,-0.10089999999999999,-0.2258,-0.6027
204,0.8255,0.1235,0.1663,0.2306,-0.702,0.042800000000000005,0.0643,-0.5949
205,0.4797,0.1704,0.2515,0.0976,-0.3093,0.0811,-0.15389999999999998,-0.3821
206,0.4144,0.2309,0.5933,0.1659,-0.1835,0.36240000000000006,-0.42740000000000006,-0.2485
207,0.5777,0.1144,-0.0038,0.0227,-0.4633,-0.1182,0.026500000000000003,-0.5549999999999999
208,0.5283,0.1344,0.3004,0.0991,-0.39390000000000003,0.166,-0.2013,-0.4292
209,0.5273,0.1348,0.2083,0.0487,-0.39249999999999996,0.07350000000000001,-0.15960000000000002,-0.47859999999999997
210,0.7595,0.151,0.6345,0.3396,-0.6084999999999999,0.48349999999999993,-0.29489999999999994,-0.41989999999999994
211,0.467,0.1737,0.2911,0.2159,-0.2933,0.11740000000000003,-0.07520000000000002,-0.2511
212,0.8321,0.1101,0.3965,0.3428,-0.722,0.2864,-0.053700000000000025,-0.48929999999999996
213,0.8896,0.4129,0.8456,0.4376,-0.47669999999999996,0.43270000000000003,-0.40800000000000003,-0.45199999999999996
214,0.8211,0.4993,0.5164,0.2747,-0.32180000000000003,0.01709999999999995,-0.24169999999999997,-0.5464
215,0.7585,0.7602,0.815,0.4521,0.0017000000000000348,0.05479999999999996,-0.36289999999999994,-0.30639999999999995
216,0.7828,,,,,,,
217,0.6921,,,,,,,
218,0.5244,,,,,,,
219,0.4566,,,,,,,
220,0.4953,,,,,,,
221,0.7127,,,,,,,
222,0.6844,,,,,,,
223,0.3519,,,,,,,
224,0.5251,,,,,,,
225,0.5466,,,,,,,
226,0.7358,,,,,,,
227,0.7015,,,,,,,
228,0.559,,,,,,,
229,0.7247,,,,,,,
230,0.6293,,,,,,,
231,0.1549,,,,,,,
232,0.6277,,,,,,,
233,0.4161,,,,,,,
234,0.4967,,,,,,,
235,0.3802,,,,,,,
236,0.2117,,,,,,,
237,0.6652,,,,,,,
238,0.4569,,,,,,,
239,0.1804,,,,,,,
240,0.6253,,,,,,,
241,0.4072,,,,,,,
242,0.4515,,,,,,,
243,0.5212,,,,,,,
244,0.3805,,,,,,,
245,0.5977,,,,,,,
246,0.1938,,,,,,,
247,0.2983,,,,,,,
248,0.4386,,,,,,,
249,0.2377,,,,,,,
250,0.7436,,,,,,,
251,0.5832,,,,,,,
252,0.4674,,,,,,,
253,0.6,,,,,,,
254,0.6612,,,,,,,
255,0.7643,,,,,,,
256,0.6816,,,,,,,
257,0.2326,,,,,,,
258,0.4086,,,,,,,
259,0.1754,,,,,,,
260,0.55,,,,,,,
261,0.5092,,,,,,,
262,0.5007,,,,,,,
263,0.5886,,,,,,,
264,0.6593,,,,,,,
265,0.2993,,,,,,,
266,0.5184,,,,,,,
267,0.6486,,,,,,,
268,0.5653,0.6339,0.5322,0.1045,0.0686,-0.10170000000000001,-0.4277,-0.46080000000000004
269,0.6168,0.2908,0.4529,0.2346,-0.326,0.16210000000000002,-0.21830000000000002,-0.3822
270,0.3383,0.153,0.1812,0.1411,-0.1853,0.028200000000000003,-0.0401,-0.1972
271,0.6854,0.3322,0.6614,0.2969,-0.3532,0.3292,-0.3645,-0.3885
272,0.614,0.2879,0.2826,0.1493,-0.3261,-0.005299999999999971,-0.13330000000000003,-0.4647
273,0.6041,0.0513,0.4697,0.1213,-0.5528,0.4184,-0.3484,-0.48279999999999995
274,0.5744,0.1107,-0.0398,0.0374,-0.4637,-0.15050000000000002,0.0772,-0.537
275,0.6001,0.1574,0.0835,0.047,-0.4427,-0.07390000000000001,-0.036500000000000005,-0.5530999999999999
276,0.4255,0.1419,0.1914,0.0661,-0.28359999999999996,0.04949999999999999,-0.12529999999999997,-0.3594
277,0.22,0.1143,0.4465,0.0883,-0.1057,0.3322,-0.3582,-0.13169999999999998
278,0.7841,0.1395,0.2731,0.1115,-0.6446000000000001,0.1336,-0.16160000000000002,-0.6726
279,0.8082,0.1633,0.6914,0.2762,-0.6449,0.5281,-0.4152,-0.532
280,0.8662,0.2755,0.3226,0.307,-0.5907,0.047099999999999975,-0.015600000000000003,-0.5591999999999999
281,0.7495,0.1517,0.1104,0.3961,-0.5978000000000001,-0.0413,0.2857,-0.35340000000000005
282,0.6629,0.4711,0.7908,0.4419,-0.19180000000000003,0.31969999999999993,-0.34889999999999993,-0.22100000000000003
283,0.5572,,,,,,,
284,0.5408,,,,,,,
285,0.7775,,,,,,,
286,0.4725,,,,,,,
287,0.2201,,,,,,,
288,0.5784,,,,,,,
289,0.8398,,,,,,,
290,0.633,,,,,,,
291,0.6624,,,,,,,
292,0.5158,,,,,,,
293,0.6309,,,,,,,
294,0.8468,,,,,,,
295,0.7418,,,,,,,
296,0.6248,,,,,,,
297,0.8661,,,,,,,
298,0.3444,,,,,,,
299,0.465,,,,,,,
300,0.5354,,,,,,,
301,0.2362,,,,,,,
302,0.2859,,,,,,,
303,0.2489,,,,,,,
304,0.5684,,,,,,,
305,0.7864,,,,,,,
306,0.4991,,,,,,,
307,0.5559,,,,,,,
308,0.7014,,,,,,,
309,0.4416,,,,,,,
310,0.577,,,,,,,
311,0.7098,,,,,,,
312,0.5511,,,,,,,
313,0.2702,,,,,,,
314,0.3541,,,,,,,
315,0.4875,,,,,,,
316,0.4621,,,,,,,
317,0.5098,,,,,,,
318,0.5101,,,,,,,
319,0.5284,,,,,,,
320,0.2865,,,,,,,
321,0.3679,,,,,,,
322,0.3269,,,,,,,
323,0.2897,,,,,,,
324,0.6657,,,,,,,
325,0.8686,,,,,,,
326,0.5143,,,,,,,
327,0.421,,,,,,,
328,0.4369,,,,,,,
329,0.2952,,,,,,,
330,0.6219,,,,,,,
331,0.382,,,,,,,
332,0.631,,,,,,,
333,0.5796,,,,,,,
334,0.6053,,,,,,,
335,0.8184,0.3566,0.4572,0.2273,-0.46180000000000004,0.10060000000000002,-0.2299,-0.5911
