cell_id,center_lat,center_lon
0,12.7045,77.3045
1,12.7045,77.3135
2,12.7045,77.3225
3,12.7045,77.3315
4,12.7045,77.3405
5,12.7045,77.3495
6,12.7045,77.3585
7,12.7045,77.3675
8,12.7045,77.3765
9,12.7045,77.3855
10,12.7045,77.3945
11,12.7045,77.4035
12,12.7045,77.4125
13,12.7045,77.4215
14,12.7045,77.4305
15,12.7045,77.4395
16,12.7045,77.4485
17,12.7045,77.4575
18,12.7045,77.4665
19,12.7045,77.4755
20,12.7045,77.4845
21,12.7045,77.4935
22,12.7045,77.5025
23,12.7045,77.5115
24,12.7045,77.5205
25,12.7045,77.5295
26,12.7045,77.5385
27,12.7045,77.5475
28,12.7045,77.5565
29,12.7045,77.5655
30,12.7045,77.5745
31,12.7045,77.5835
32,12.7045,77.5925
33,12.7045,77.6015
34,12.7045,77.6105
35,12.7045,77.6195
36,12.7045,77.6285
37,12.7045,77.6375
38,12.7045,77.6465
39,12.7045,77.6555
40,12.7045,77.6645
41,12.7045,77.6735
42,12.7045,77.6825
43,12.7045,77.6915
44,12.7045,77.7005
45,12.7045,77.7095
46,12.7045,77.7185
47,12.7045,77.7275
48,12.7045,77.7365
49,12.7045,77.7455
50,12.7045,77.7545
51,12.7045,77.7635
52,12.7045,77.7725
53,12.7045,77.7815
54,12.7045,77.7905
55,12.7045,77.7995
56,12.7045,77.8085
57,12.7045,77.8175
58,12.7045,77.8265
59,12.7045,77.8355
60,12.7045,77.8445
61,12.7045,77.8535
62,12.7045,77.8625
63,12.7045,77.8715
64,12.7045,77.8805
65,12.7045,77.8895
66,12.7045,77.8985
67,12.7135,77.3045
68,12.7135,77.3135
69,12.7135,77.3225
70,12.7135,77.3315
71,12.7135,77.3405
72,12.7135,77.3495
73,12.7135,77.3585
74,12.7135,77.3675
75,12.7135,77.3765
76,12.7135,77.3855
77,12.7135,77.3945
78,12.7135,77.4035
79,12.7135,77.4125
80,12.7135,77.4215
81,12.7135,77.4305
82,12.7135,77.4395
83,12.7135,77.4485
84,12.7135,77.4575
85,12.7135,77.4665
86,12.7135,77.4755
87,12.7135,77.4845
88,12.7135,77.4935
89,12.7135,77.5025
90,12.7135,77.5115
91,12.7135,77.5205
92,12.7135,77.5295
93,12.7135,77.5385
94,12.7135,77.5475
95,12.7135,77.5565
96,12.7135,77.5655
97,12.7135,77.5745
98,12.7135,77.5835
99,12.7135,77.5925
100,12.7135,77.6015
101,12.7135,77.6105
102,12.7135,77.6195
103,12.7135,77.6285
104,12.7135,77.6375
105,12.7135,77.6465
106,12.7135,77.6555
107,12.7135,77.6645
108,12.7135,77.6735
109,12.7135,77.6825
110,12.7135,77.6915
111,12.7135,77.7005
112,12.7135,77.7095
113,12.7135,77.7185
114,12.7135,77.7275
115,12.7135,77.7365
116,12.7135,77.7455
117,12.7135,77.7545
118,12.7135,77.7635
119,12.7135,77.7725
120,12.7135,77.7815
121,12.7135,77.7905
122,12.7135,77.7995
123,12.7135,77.8085
124,12.7135,77.8175
125,12.7135,77.8265
126,12.7135,77.8355
127,12.7135,77.8445
128,12.7135,77.8535
129,12.7135,77.8625
130,12.7135,77.8715
131,12.7135,77.8805
132,12.7135,77.8895
133,12.7135,77.8985
134,12.7225,77.3045
135,12.7225,77.3135
136,12.7225,77.3225
137,12.7225,77.3315
138,12.7225,77.3405
139,12.7225,77.3495
140,12.7225,77.3585
141,12.7225,77.3675
142,12.7225,77.3765
143,12.7225,77.3855
144,12.7225,77.3945
145,12.7225,77.4035
146,12.7225,77.4125
147,12.7225,77.4215
148,12.7225,77.4305
149,12.7225,77.4395
150,12.7225,77.4485
151,12.7225,77.4575
152,12.7225,77.4665
153,12.7225,77.4755
154,12.7225,77.4845
155,12.7225,77.4935
156,12.7225,77.5025
157,12.7225,77.5115
158,12.7225,77.5205
159,12.7225,77.5295
160,12.7225,77.5385
161,12.7225,77.5475
162,12.7225,77.5565
163,12.7225,77.5655
164,12.7225,77.5745
165,12.7225,77.5835
166,12.7225,77.5925
167,12.7225,77.6015
168,12.7225,77.6105
169,12.7225,77.6195
170,12.7225,77.6285
171,12.7225,77.6375
172,12.7225,77.6465
173,12.7225,77.6555
174,12.7225,77.6645
175,12.7225,77.6735
176,12.7225,77.6825
177,12.7225,77.6915
178,12.7225,77.7005
179,12.7225,77.7095
180,12.7225,77.7185
181,12.7225,77.7275
182,12.7225,77.7365
183,12.7225,77.7455
184,12.7225,77.7545
185,12.7225,77.7635
186,12.7225,77.7725
187,12.7225,77.7815
188,12.7225,77.7905
189,12.7225,77.7995
190,12.7225,77.8085
191,12.7225,77.8175
192,12.7225,77.8265
