cell_id,center_lat,center_lon,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly,road_length_km,building_count,gbif_observations,gbif_species_count,dist_to_cbd_km,zone,ndvi_mean,ndvi_std,ndvi_min,ndvi_accel,vegetation_stressed,fragmentation_index,infra_pressure,urban_proximity_score,rainfall_stress,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
14,12.7045,77.4305,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,34.5652,rural,,,,,0,0.0,0.0,0.028117,0,0.0,0.0,0.0,nan
15,12.7045,77.4395,,,,,,,,,1179.8,691.4,1062.3,912.4,980.3,1106.6,1500.7,1256.8,828.6,1172.6,1069.15,103.44999999999982,0.0,0,0.0,0.0,34.0745,rural,,,,,0,0.0,0.0,0.028511,0,0.0,0.0,0.0,nan
16,12.7045,77.4485,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,33.6048,rural,,,,,0,0.0,0.0,0.028898,0,0.0,0.0,0.0,nan
17,12.7045,77.4575,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,33.1572,rural,,,,,0,0.0,0.0,0.029276,0,0.0,0.0,0.0,nan
18,12.7045,77.4665,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,32.7325,rural,,,,,0,0.0,0.0,0.029645,0,0.0,0.0,0.0,nan
19,12.7045,77.4755,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,32.3315,rural,,,,,0,0.0,0.0,0.030002,0,0.0,0.0,0.0,nan
20,12.7045,77.4845,,,,,,,,,1179.8,691.4,1062.3,912.4,980.3,1106.6,1500.7,1256.8,828.6,1172.6,1069.15,103.44999999999982,0.0,0,1624.0,73.0,31.9553,rural,,,,,0,0.0,0.0,0.030344,0,22.2466,0.0,0.0,nan
21,12.7045,77.4935,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,31.6047,rural,,,,,0,0.0,0.0,0.03067,0,0.0,0.0,0.0,nan
22,12.7045,77.5025,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,31.2805,rural,,,,,0,0.0,0.0,0.030978,0,0.0,0.0,0.0,nan
23,12.7045,77.5115,,,,,,,,,1194.9193771626296,715.0989619377161,1027.3643598615918,898.6910034602075,924.7795847750865,1157.3391003460208,1377.430103806228,1143.6076124567476,765.6878892733565,1085.0363321799307,1028.9954325259516,56.040899653979245,0.0,0,0.0,0.0,30.9835,rural,,,,,0,0.0,0.0,0.031266,0,0.0,0.0,0.0,nan
