cell_id,center_lat,center_lon,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,ndvi_mean,ndvi_std,ndvi_accel,fragmentation_index,road_length_km,building_count,infra_pressure,urban_proximity_score,dist_to_cbd_km,rainfall_anomaly,rainfall_stress,gbif_observations,gbif_species_count,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
18,12.7045,77.4665,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,5.3054,0,0.0329,0.029645,32.7325,56.040899653979245,0,0.0,0.0,0.0,0.098,0.1741,stable
19,12.7045,77.4755,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,5.7637,1,0.0358,0.030002,32.3315,56.040899653979245,0,0.0,0.0,0.0,0.0992,0.1749,stable
20,12.7045,77.4845,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,9.3736,1,0.0582,0.030344,31.9553,103.44999999999982,0,1624.0,73.0,22.2466,0.1082,0.1806,stable
21,12.7045,77.4935,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,16.7906,0,0.1041,0.03067,31.6047,56.040899653979245,0,0.0,0.0,0.0,0.1265,0.1921,stable
22,12.7045,77.5025,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,21.0858,0,0.1307,0.030978,31.2805,56.040899653979245,0,0.0,0.0,0.0,0.1372,0.1988,at_risk
23,12.7045,77.5115,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,7.9467,0,0.0492,0.031266,30.9835,56.040899653979245,0,0.0,0.0,0.0,0.1046,0.1785,stable
24,12.7045,77.5205,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,8.2823,0,0.0513,0.031531,30.7147,56.040899653979245,0,0.0,0.0,0.0,0.1054,0.1791,stable
25,12.7045,77.5295,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.031772,30.4746,122.12000000000012,0,0.0,0.0,0.0,0.0849,0.1663,stable
26,12.7045,77.5385,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.031986,30.264,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable
27,12.7045,77.5475,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,0.0,0,0.0,0.032171,30.0836,56.040899653979245,0,0.0,0.0,0.0,0.0849,0.1664,stable
